Month,Constabulary,Crime type,Longitude,Latitude,Count
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2417,51.8529,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2414,51.8697,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2412,51.8726,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2411,51.85,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2411,51.8623,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.241,51.8643,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.241,51.8706,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2404,51.7396,5
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2404,51.7427,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2403,51.8718,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2402,51.8564,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2402,51.8622,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2402,51.8687,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.24,51.8598,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.24,51.8723,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2399,51.7428,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2398,51.8632,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2397,51.8675,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2394,51.7574,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.239,51.8675,6
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2389,51.869,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2389,51.8697,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2384,51.865,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2383,51.8629,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2382,51.865,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.238,51.8596,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2375,51.8491,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.237,51.8543,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.237,51.8673,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.237,51.8738,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2367,51.8835,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2362,51.8545,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2359,51.844,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2359,51.8702,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2356,51.8683,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2352,51.7496,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2347,51.7519,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2347,51.8152,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2347,51.8683,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2346,51.8887,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2342,51.6984,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2341,51.8584,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2336,51.8434,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2332,51.7524,1
